AASDHPPT	EHD1
AASDHPPT	FBXO6
AASDHPPT	ADSS2
AASDHPPT	WWOX
AASDHPPT	NMRAL1
AASDHPPT	TRAF2
AASDHPPT	EHD4
AASDHPPT	JUN
AASS	ATP5PB
AASS	MRPL58
AASS	SSBP1
AASS	SHMT2
AASS	HSP90AA1
AASS	IMMP2L
AASS	BCAP31
AASS	TERF2
AASS	AUH
AASS	HOOK3
AASS	HADHA
AASS	ATP5F1C
AASS	HOOK1
AATF	RBL2
AATF	H2AC4
AATF	ZNF324B
AATF	H2AC8
AATF	RELA
AATF	JUN
AATF	MPHOSPH6
AATF	HIPK2
AATF	CHEK2
AATF	MAPT
AATF	RPF2
AATF	CPD
AATF	BRCA1
AATF	RBL1
AATF	DCPS
AATF	SMAD3
AATF	IFI16
AATF	PRC1
AATF	RTEL1
AATF	CIT
AATF	OBSL1
AATF	SNIP1
AATF	TBL3
AATF	NOL10
AATF	MAPKAPK2
AATF	KAT2A
AATF	MDM2
AATF	MYC
AATF	POLR2J
AATF	RPS8
AATF	MNS1
AATF	TADA2A
AATF	CEP164
AATF	RPL10
AATF	CHD3
AATF	MPHOSPH10
AATF	FBL
AATF	ATR
AATK	PTPRR
AATK	SLC25A11
AATK	PTPN18
AATK	DNAJA3
AATK	BDKRB2
AATK	SLC25A1
AATK	P4HA1
AATK	PPM1K
AATK	STYX
AATK	TPTE2
AATK	MTMR9
AATK	ATAD3A
AATK	PPP1CC
AATK	CDC25B
ABAT	ALDH5A1
ABAT	RAD23B
ABAT	FAH
ABAT	ESD
ABAT	SOD2
ABAT	ENO1
ABAT	ADSL
ABAT	ECI1
ABAT	SORD
ABAT	PRPF8
ABAT	BAG3
ABAT	GDA
ABAT	LDHA
ABAT	FKBP3
ABAT	LDHAL6B
ABAT	HSD17B14
ABCA1	APOA1
ABCA1	FLOT1
ABCA1	LIN7C
ABCA1	DLG5
ABCA1	ABCA12
ABCA1	HGS
ABCA1	LIN7A
ABCA1	PLTP
ABCA1	COPS2
ABCA1	DMD
ABCA1	SNTB2
ABCA1	PDZK1
ABCA1	FLNA
ABCA1	IKBKG
ABCA1	PRPF8
ABCA1	LIN7B
ABCA1	TRIM27
ABCA1	RAPGEF6
ABCA2	NEK4
ABCA2	PTCH1
ABCA2	CACNA1A
ABCA2	HTR3A
ABCA2	CLTC
ABCA2	PCDH1
ABCA2	SDHAF2
ABCA2	LMAN2L
ABCA2	KIF14
ABCA2	CDK5RAP2
ABCA2	HTR6
ABCA2	ZNRF4
ABCA2	PON2
ABCA2	TMEM248
ABCA3	RPN1
ABCA3	IL17RC
ABCA3	EVA1C
ABCA3	SPINT2
ABCA3	MANSC1
ABCA3	HLA-E
ABCA3	PTH1R
ABCA3	PMEL
ABCA3	STXBP1
ABCA7	TAF1
ABCA7	SYNCRIP
ABCB1	LGALS9
ABCB1	CUL7
ABCB1	MAPRE1
ABCB1	MAPKAP1
ABCB1	PIM1
ABCB1	KRAS
ABCB10	NRG1
ABCB10	SNX4
ABCB10	NDUFA2
ABCB10	IMPDH1
ABCB10	TRDN
ABCB10	NR2C2
ABCB10	LMBR1L
ABCB10	HLA-DPA1
ABCB10	SLC39A4
ABCB10	ECSIT
ABCB10	NDUFB11
ABCB10	CFTR
ABCB10	TCTN3
ABCB10	SLC24A5
ABCB11	AP2A1
ABCB11	LY6D
ABCB11	HAX1
ABCB4	HAX1
ABCB4	TESK1
ABCB5	PPP1R15B
ABCB5	EPHA2
ABCB5	ERBB2
ABCB5	CD44
ABCB6	NPC1
ABCB6	PCDHA12
ABCB6	CEACAM21
ABCB6	SLC1A5
ABCB6	HLA-DPA1
ABCB6	DCT
ABCB6	BMI1
ABCB6	GRPR
ABCB6	TOMM40
ABCB6	NPTN
ABCB6	MCAM
ABCB6	FLOT2
ABCB6	ESR1
ABCB6	GNAI2
ABCB6	CLEC2D
ABCB6	SDCBP
ABCB7	MDH2
ABCB7	MTCH1
ABCB7	PMPCB
ABCB7	TGFBR2
ABCB7	SLC25A51
ABCB7	COQ9
ABCB7	INS
ABCB7	SSBP1
ABCB7	MAT2A
ABCB7	METTL17
ABCB7	MRPL10
ABCB7	MCUR1
ABCB7	MTRF1L
ABCB7	CLPP
ABCB7	CS
ABCB7	RNF4
ABCB7	NTRK1
ABCB7	COX15
ABCB7	RPN1
ABCB7	CFTR
ABCB7	PDCD6
ABCB7	MTCH2
ABCB7	NEK4
ABCB7	NDUFA4
ABCB7	MTRES1
ABCB7	APP
ABCB7	EPRS1
ABCB7	FECH
ABCB7	HOOK3
ABCB7	CKB
ABCB7	TBRG4
ABCB7	LONP1
ABCB8	RAB11FIP5
ABCB8	MTERF3
ABCB8	NCR3LG1
ABCB8	NOA1
ABCB8	CLEC2D
ABCB8	LDHAL6B
ABCB8	PROCR
ABCB8	CFTR
ABCB9	TMEM9B
ABCB9	ATP2B2
ABCB9	PCDHAC1
ABCB9	SLC17A2
ABCB9	LRRC8B
ABCB9	PCDHGA5
ABCB9	PCDHA3
ABCC1	PSMD2
ABCC1	ESR2
ABCC1	FLOT1
ABCC1	KRAS
ABCC1	AZGP1
ABCC1	ATP6V1H
ABCC1	STING1
ABCC1	TMEM33
ABCC1	HRAS
ABCC1	VCP
ABCC1	UNC93B1
ABCC1	NDUFB9
ABCC1	TMEM17
ABCC1	VDAC1
ABCC1	STT3B
ABCC1	HNRNPL
ABCC1	MRPL17
ABCC1	TRAF3
ABCC1	NTRK1
ABCC1	PSMC5
ABCC1	NR3C1
ABCC1	CSNK2A1
ABCC10	PCDHAC2
ABCC11	CFTR
ABCC2	RDX
ABCC2	MCPH1
ABCC2	RAB31
ABCC2	TOMM70
ABCC2	NHERF4
ABCC2	HNRNPDL
ABCC2	AP2M1
ABCC2	SLC30A5
ABCC3	HRAS
ABCC4	PDZK1
ABCC4	NHERF2
ABCC4	ATP2B2
ABCC4	MPP1
ABCC4	ESR2
ABCC4	H1-1
ABCC4	HAX1
ABCC5	NRAS
ABCC5	TRDN
ABCC5	AK2
ABCC5	RBP5
ABCC6	EZR
ABCC6	MGST1
ABCC6	AKR1A1
ABCC6	FURIN
ABCC8	RAPGEF4
ABCC8	INS
ABCC8	KCNJ8
ABCC8	ANK2
ABCC9	KCNJ8
ABCC9	KCNJ11
ABCD1	NTRK1
ABCD1	RPSA
ABCD1	ANLN
ABCD1	EMC4
ABCD1	CHCHD3
ABCD1	ABCD2
ABCD1	PEX3
ABCD1	ABCD3
ABCD1	MAS1
ABCD1	ITPR3
ABCD1	HNRNPAB
ABCD1	IMMT
ABCD1	SLC27A2
ABCD1	VAPA
ABCD1	ELAVL1
ABCD1	NDUFA12
ABCD1	VPS26B
ABCD1	POT1
ABCD1	RNF4
ABCD3	PCM1
ABCD3	MDC1
ABCD3	DYRK1A
ABCD3	ABCD2
ABCD3	DEPDC1B
ABCD3	NRAS
ABCD3	MYH14
ABCD3	RETREG2
ABCD3	STOM
ABCD3	STARD8
ABCD3	PEX19
ABCD3	PYHIN1
ABCD3	MMS19
ABCD3	TOMM40
ABCD3	MARCHF5
ABCD3	CDK9
ABCD3	KIF23
ABCD3	ARHGEF16
ABCD3	VAPA
ABCD3	EFTUD2
ABCD3	PTP4A3
ABCD3	MTCH1
ABCD3	HIPK4
ABCD3	TOMM20
ABCD3	TFDP1
ABCD3	BRF2
ABCD3	RMDN3
ABCD3	HSPB1
ABCD3	TAP1
ABCD3	DOCK2
ABCD3	PHYH
ABCD3	ESR1
ABCD3	BTRC
ABCD3	BRD7
ABCD3	CLN3
ABCD3	COL6A2
ABCD3	NET1
ABCD3	BAD
ABCD3	PELO
ABCD3	TIMMDC1
ABCD3	PGRMC1
ABCD3	SCARB2
ABCD3	TUFT1
ABCD3	MRPL41
ABCD3	DHX9
ABCD3	COX14
ABCD3	FKBP8
ABCD3	COQ9
ABCD3	INS
ABCD3	PSMA1
ABCD3	UBE2A
ABCD3	OBSL1
ABCD3	HAX1
ABCD3	ANLN
ABCD3	VAV1
ABCD3	MEST
ABCD3	EP300
ABCD3	CTDNEP1
ABCD4	FSHR
ABCD4	ATP5F1B
ABCD4	SARAF
ABCD4	LMBRD1
ABCD4	TNFRSF10A
ABCD4	PCDHA3
ABCD4	PDGFRB
ABCD4	SLC17A2
ABCE1	TOMM20
ABCE1	WDR1
ABCE1	PRKN
ABCE1	TMEM216
ABCE1	NDUFA5
ABCE1	XPO1
ABCE1	PSMC2
ABCE1	SDHB
ABCE1	FBL
ABCE1	EIF3D
ABCE1	WWOX
ABCE1	PFKL
ABCE1	PRKACA
ABCE1	JUN
ABCE1	FUBP3
ABCE1	XRCC5
ABCE1	RTRAF
ABCE1	ABCF1
ABCE1	RRP1B
ABCE1	JUP
ABCE1	NTRK1
ABCE1	EIF4A3
ABCE1	EBP
ABCE1	SMC1A
ABCE1	RPS27
ABCE1	ATG16L1
ABCE1	PFDN2
ABCE1	CORO1C
ABCE1	RPL21
ABCE1	EWSR1
ABCE1	HSCB
ABCE1	H3-5
ABCE1	KIF5B
ABCE1	SNAP23
ABCE1	PSMD8
ABCE1	FLNB
ABCE1	CIAO2B
ABCE1	EEA1
ABCE1	AK2
ABCE1	MCM2
ABCE1	DUT
ABCE1	APEX1
ABCE1	PPP1CB
ABCE1	EPB41L3
ABCE1	TGOLN2
ABCE1	PPP2R2A
ABCE1	DYNLL1
ABCE1	RPS12
ABCE1	VIRMA
ABCE1	YWHAH
